time_s,operator_source,operator_feasible,operator_cost,operator_note,Tg_ref_C,vg_ref_mps,Tg_cmd_C,vg_cmd_mps,Tg_ref_minus_cmd_C,vg_ref_minus_cmd_mps,nmpc_plan_age_s,nmpc_last_solve_ms,nmpc_async_job_running,nmpc_stale_plan,operator_compute_wall_s,simulated_compute_latency_s,command_apply_delay_s,async_submitted_jobs,async_accepted_plans,async_discarded_plans,async_last_result_state_age_s,safety_reachable,nmpc_pred_min_Tavg_C,nmpc_pred_max_Tavg_C,omega_max_for_safety,safety_margin_C,recovery_guard_requested,recovery_guard_active,recovery_guard_reason,aux_resource_required,Q_aux_heat_kW,mdot_aux_flow_kgps,fan_circulation_power_kW
3699.9999999977304,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0207082589875,5.106115208332689,0.00028544937481456145,-2.7711166694643907e-13,nan,4496.258790997672,0.0,0.0,3.6375000490807e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315236773337523,0.2681322136271034,1.3867577301063423
3701.9999999977285,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0208471537667,5.106115208332449,0.00014655459563073236,-3.730349362740526e-14,nan,4496.258790997672,0.0,0.0,3.662500239443034e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315375640364131,0.2681321255164395,1.3867577301061467
3703.9999999977267,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.020918464724,5.106115208332417,7.524363832089875e-05,-5.329070518200751e-15,nan,4496.258790997672,0.0,0.0,3.679101064335555e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315464595625215,0.26813207660518984,1.3867577301061207
3705.999999997725,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209550769903,5.106115208332413,3.863137203552469e-05,-8.881784197001252e-16,nan,4496.258790997672,0.0,0.0,3.629199636634439e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315528160885375,0.26813204777056837,1.386757730106117
3707.999999997723,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209738743546,5.106115208332412,1.9834007730423764e-05,0.0,nan,4496.258790997672,0.0,0.0,3.604099038057029e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315578886863259,0.26813202920277246,1.3867577301061162
3709.9999999977213,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209835252432,5.106115208332412,1.0183119115936279e-05,0.0,nan,4496.258790997672,0.0,0.0,3.6708006518892944e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315623179929574,0.26813201587306124,1.3867577301061162
3711.9999999977194,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209884801747,5.106115208332412,5.228187660577532e-06,0.0,nan,4496.258790997672,0.0,0.0,3.6666999221779406e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315664294522975,0.2681320052068121,1.3867577301061162
3713.9999999977176,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209910241213,5.106115208332412,2.6842410534300143e-06,0.0,nan,4496.258790997672,0.0,0.0,3.670899604912847e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315703870189868,0.26813199588868974,1.3867577301061162
3715.999999997716,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.020992330227,5.106115208332412,1.3781352663500002e-06,0.0,nan,4496.258790997672,0.0,0.0,3.64580046152696e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315742721230965,0.268131987249094,1.3867577301061162
3717.999999997714,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209930008041,5.106115208332412,7.075582288962323e-07,0.0,nan,4496.258790997672,0.0,0.0,3.679200017359108e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315781242468557,0.26813197894907814,1.3867577301061162
3719.999999997712,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209933450898,5.106115208332412,3.632725338320597e-07,0.0,nan,4496.258790997672,0.0,0.0,3.674998879432678e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315819617795004,0.2681319708185359,1.3867577301061162
3721.9999999977103,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.020993521852,5.106115208332412,1.8651030586624984e-07,0.0,nan,4496.258790997672,0.0,0.0,3.662500239443034e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315857927354818,0.26813196277310036,1.3867577301061162
3723.9999999977085,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209936126047,5.106115208332412,9.575762760505313e-08,0.0,nan,4496.258790997672,0.0,0.0,3.633399319369346e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315896202590928,0.26813195477147467,1.3867577301061162
3725.9999999977067,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209936591987,5.106115208332412,4.916364559903741e-08,0.0,nan,4496.258790997672,0.0,0.0,3.63329891115427e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315934454449117,0.2681319467935384,1.3867577301061162
3727.999999997705,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209936831209,5.106115208332412,2.524143383197952e-08,0.0,nan,4496.258790997672,0.0,0.0,3.5958000808022916e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.315972687736854,0.2681319388291297,1.3867577301061162
3729.999999997703,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209936954029,5.106115208332412,1.2959390005562454e-08,0.0,nan,4496.258790997672,0.0,0.0,3.6250014090910554e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.316010908324412,0.2681319308723241,1.3867577301061162
3731.9999999977013,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209937017088,5.106115208332412,6.653522177657578e-09,0.0,nan,4496.258790997672,0.0,0.0,3.650000144261867e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.316049126631063,0.26813192291853905,1.3867577301061162
3733.9999999976994,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209937049462,5.106115208332412,3.4160620998591185e-09,0.0,nan,4496.258790997672,0.0,0.0,3.633399319369346e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.31608735917252,0.26813191496309835,1.3867577301061162
3735.9999999976976,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209937066085,5.106115208332412,1.7538468455313705e-09,0.0,nan,4496.258790997672,0.0,0.0,3.6249999538995326e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.316125629091214,0.2681319070005508,1.3867577301061162
3737.999999997696,nmpc_plan_hold,1.0,63.15109768633309,Using cached NMPC plan between re-optimizations,971.0209937083623,5.106115208332412,971.0209937074619,5.106115208332412,9.00399754755199e-10,0.0,nan,4496.258790997672,0.0,0.0,3.650000144261867e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2622082447301,873.3056222503051,0.19403932389809597,22.93557493218293,0.0,0.0,,1.0,15.316163966146082,0.2681318990243784,1.3867577301061162
3739.999999997694,nmpc_block_slsqp,1.0,63.19284076603854,blocks=4; rollout_dt=5s; success=True; minT=869.26; maxT=873.31; terminal_margin=22.94; aux_kJ=12213.8; msg=Optimization terminated successfully,971.3061274862528,5.1051052729812465,971.159734923007,5.105241952868047,0.14639256324574035,-0.00013667988680055032,nan,4734.209542002645,0.0,0.0,4.734293125002296,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2607244332514,873.3058509124511,0.19403932389809597,22.936127540728876,0.0,0.0,,1.0,15.417328692944798,0.26792733582276834,1.3860463556333487
3741.999999997692,nmpc_plan_hold,1.0,63.19284076603854,Using cached NMPC plan between re-optimizations,971.3061274862528,5.1051052729812465,971.2309670381833,5.1051237705924395,0.0751604480694823,-1.8497611192991315e-05,nan,4734.209542002645,0.0,0.0,4.1750012314878404e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2607244332514,873.3058509124511,0.19403932389809597,22.936127540728876,0.0,0.0,,1.0,15.470264956361115,0.26786913467647605,1.3859501002617325
3743.9999999976903,nmpc_plan_hold,1.0,63.19284076603854,Using cached NMPC plan between re-optimizations,971.3061274862528,5.1051052729812465,971.2675388255398,5.105107776360697,0.038588660713003264,-2.5033794504025764e-06,nan,4734.209542002645,0.0,0.0,3.8416997995227575e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2607244332514,873.3058509124511,0.19403932389809597,22.936127540728876,0.0,0.0,,1.0,15.497594614143003,0.267845586888683,1.3859370738561243
3745.9999999976885,nmpc_plan_hold,1.0,63.19284076603854,Using cached NMPC plan between re-optimizations,971.3061274862528,5.1051052729812465,971.2863154072421,5.105105611776813,0.01981207901064863,-3.3879556671223554e-07,nan,4734.209542002645,0.0,0.0,3.758301318157464e-05,0.0,0.0,0.0,0.0,0.0,nan,1.0,869.2607244332514,873.3058509124511,0.19403932389809597,22.936127540728876,0.0,0.0,,1.0,15.511662915731975,0.26783435095325425,1.3859353109301022
