time_s,cell_index,z_center_m,residence_left_s,omega,T_solid_C,omega0,tref_min,slope_min_per_C,dry_mass_kg,water_mass_kg
900.0000000001361,7,1.2,615.625,0.7280525009925511,118.4615207629318,0.7753500000000074,14.93999999999949,-0.20460000000000114,2.56111400462963,6.856564091242391
900.0000000001361,8,1.36,566.375,0.7156482720389893,123.88034757761916,0.7753500000000081,14.939999999999474,-0.2046000000000017,2.56111400462963,6.445738258919126
900.0000000001361,9,1.52,517.125,0.70183435899377,129.58321242351334,0.7753500000000076,14.939999999999424,-0.20460000000000145,2.56111400462963,6.028453847610317
900.0000000001361,10,1.68,467.875,0.6862323034346961,135.60063166444948,0.7753500000000081,14.939999999999424,-0.20460000000000164,2.56111400462963,5.601338767485457
900.0000000001361,11,1.84,418.625,0.6684659617271661,142.25969419629828,0.7753500000000109,14.939999999999454,-0.20460000000000156,2.56111400462963,5.163926893047298
900.0000000001361,12,2.0,369.375,0.6496334922694053,152.47157381446246,0.7753500000000083,14.939999999999472,-0.2046000000000007,2.56111400462963,4.748699999050574
900.0000000001361,13,2.16,320.125,0.6286726228036386,165.11090909680442,0.7753500000000081,14.93999999999949,-0.20460000000000056,2.56111400462963,4.336072041728833
900.0000000001361,14,2.32,270.875,0.6042006647727178,179.34629781309968,0.7753500000000091,14.939999999999525,-0.20460000000000073,2.56111400462963,3.9096245153301044
900.0000000001361,15,2.48,221.625,0.5740505403460567,194.31078173262665,0.7753500000000103,14.939999999999543,-0.20460000000000045,2.56111400462963,3.4516040457944075
900.0000000001361,16,2.64,172.375,0.5347487811497278,209.01782881834745,0.7753500000000095,14.939999999999557,-0.2046000000000003,2.56111400462963,2.943684050405345
900.0000000001361,17,2.8000000000000003,123.125,0.48085196166118394,222.63103466056478,0.7753500000000093,14.939999999999616,-0.2046000000000007,2.56111400462963,2.3721878967408383
900.0000000001361,18,2.96,73.875,0.4091538234570664,239.97233181124793,0.775350000000009,14.939999999999678,-0.20460000000000073,2.56111400462963,1.7735404389597627
900.0000000001361,19,3.12,24.625,0.3050068428548925,250.0,0.7753500000000082,14.939999999999696,-0.2046000000000006,2.56111400462963,1.1239783999491038
4499.9999999988395,0,0.08,960.375,0.8365499999999894,37.14161241038308,0.8365499999999381,15.109999999998994,-0.200150000000002,1.8634056712963118,9.537057291665997
4499.9999999988395,1,0.24,911.125,0.8365499999999767,54.20049714131194,0.8365499999999271,15.109999999998923,-0.2001499999999986,1.8634056712963118,9.537057291665121
4499.9999999988395,2,0.4,861.875,0.8365499999999643,71.33830240494626,0.8365499999999156,15.109999999998863,-0.20014999999999458,1.8634056712963118,9.537057291664247
4499.9999999988395,3,0.56,812.625,0.8365499999999516,88.66741159060004,0.8365499999999318,15.109999999999387,-0.20014999999998778,1.8634056712963118,9.537057291663372
4499.9999999988395,4,0.72,763.375,0.834656031384139,100.00259499092371,0.836549999999918,15.109999999999195,-0.20014999999998345,1.8634056712963118,9.406468197677459
4499.9999999988395,5,0.88,714.125,0.8297584705761765,103.03603804710744,0.8365499999999187,15.109999999999173,-0.20014999999998295,1.8634056712963118,9.082252991445632
4499.9999999988395,6,1.04,664.875,0.8240240776429761,106.42656253547288,0.8365499999999187,15.109999999999223,-0.20014999999998306,1.8634056712963118,8.725575175275374
4499.9999999988395,7,1.2,615.625,0.8172794465135016,110.26561669163961,0.8365499999999185,15.109999999999195,-0.20014999999998298,1.8634056712963118,8.334711813248205
4499.9999999988395,8,1.36,566.375,0.8092919413532651,114.6551243882699,0.8365499999999165,15.10999999999916,-0.20014999999998312,1.8634056712963118,7.907579805243306
4499.9999999988395,9,1.52,517.125,0.7997430721508841,119.70213261509944,0.8365499999999167,15.10999999999913,-0.20014999999998315,1.8634056712963118,7.44166902105241
4499.9999999988395,10,1.68,467.875,0.7881953776117692,125.53152349689003,0.8365499999999161,15.109999999999156,-0.20014999999998323,1.8634056712963118,6.9343516688657525
4499.9999999988395,11,1.84,418.625,0.7740374372101981,132.30354992282665,0.836549999999916,15.109999999999143,-0.20014999999998312,1.8634056712963118,6.383118214298467
4499.9999999988395,12,2.0,369.375,0.7563867939646972,140.23257110304203,0.8365499999999162,15.109999999999152,-0.20014999999998334,1.8634056712963118,5.785628228065777
4499.9999999988395,13,2.16,320.125,0.7339170070059481,149.61188965878978,0.8365499999999191,15.10999999999919,-0.20014999999998342,1.8634056712963118,5.13969381405098
4499.9999999988395,14,2.32,270.875,0.7059320072369976,163.22301292471056,0.8365499999999173,15.109999999999173,-0.2001499999999831,1.8634056712963118,4.473243393391535
4499.9999999988395,15,2.48,221.625,0.6715709520108267,183.8635910807583,0.8365499999999164,15.109999999999186,-0.2001499999999833,1.8634056712963118,3.810287574490338
4499.9999999988395,16,2.64,172.375,0.6242116748955492,206.98907801803594,0.8365499999999176,15.109999999999175,-0.20014999999998304,1.8634056712963118,3.0952520272321786
4499.9999999988395,17,2.8000000000000003,123.125,0.549619391429435,227.60417455296428,0.8365499999999192,15.109999999999191,-0.20014999999998354,1.8634056712963118,2.273996418927908
4499.9999999988395,18,2.96,73.875,0.4288262863845776,250.0,0.8365499999999203,15.109999999999165,-0.20014999999998376,1.8634056712963118,1.3990092943737706
4499.9999999988395,19,3.12,24.625,0.2793390186075681,250.0,0.8365499999999177,15.109999999999163,-0.20014999999998367,1.8634056712963118,0.7222840210967951
