time_s,omega_out,T_solid_out_C,mdot_d_out_kgps,mdot_w_out_kgps,mdot_wet_out_kgps,mdot_furnace_dry_kgps,mdot_furnace_water_kgps,mdot_furnace_wet_kgps,rd_used,omega_target_from_T,T_static_from_current_furnace_feed_C,water_evap_kgps,inventory_dry_kg,inventory_water_kg,inventory_total_kg,Tg_in_C,Tg_out_C,mdot_gas_preheater_kgps,U_eff_W_m2K,Q_gas_to_solid_kW,Q_sensible_kW,Q_latent_kW,heat_balance_residual_kW
0.0,0.05055620677276066,250.0,0.05200231481481482,0.002769031510020878,0.05477134632483569,0.05200231481481482,0.002769031510020878,0.05477134632483569,1.000044515669516,0.2633676030247898,1003.398848640011,0.1779033793021913,51.2222800925926,66.62064764443134,117.84292773702394,800.0,347.72819570445904,1.9728669068697138,119.99939369547143,936.885679385175,535.1976392587571,401.6880401264176,2.2737367544323206e-13
2.0000000000000004,0.05056551245324634,250.0,0.05200231481481482,0.0027695683397393634,0.05477188315455419,0.05200231481481482,0.0027695683397393634,0.05477188315455419,1.000044515669516,0.2802211492933111,1003.3946138550817,0.16116033056071072,51.2222800925926,66.63699464410108,117.85927473669368,780.5366847613037,340.19560417900595,1.8934837442880736,116.17473094756916,875.4676119260668,511.583701553038,363.8839103730287,5.684341886080802e-14
4.000000000000002,0.050574975257267195,250.0,0.05200231481481482,0.0027701142444528874,0.05477242905926771,0.05200231481481482,0.0027701142444528874,0.05477242905926771,1.000044515669516,0.2802211492933111,1003.3903075259243,0.14935353101635027,51.2222800925926,66.69201728078393,117.91429737337653,751.0805702859327,331.0001116504122,1.8126566008039247,111.73166412700512,799.5346970251376,462.30935934332024,337.2253376818174,-5.684341886080802e-14
5.999999999999995,0.050584598041380734,250.0,0.05200231481481482,0.0027706693895022763,0.0547729842043171,0.05200231481481482,0.0027706693895022763,0.0547729842043171,1.000044515669516,0.2802211492933111,1003.3859283504838,0.1361742181696783,51.2222800925926,66.77335617849525,117.99563627108785,716.4939816153972,321.0114184342212,1.733737309335774,107.09627006425889,719.9460187278949,412.4782515225781,307.4677672053167,5.684341886080802e-14
7.999999999999988,0.05059438374285486,250.0,0.05200231481481482,0.0027712339449073556,0.05477354875972217,0.05200231481481482,0.0027712339449073556,0.05477354875972217,1.000044515669516,0.2802211492933111,1003.3814749898876,0.12349599703031958,51.2222800925926,66.88022583737903,118.10250592997163,679.2733196643094,310.4041343531518,1.6533452464526222,102.3152256054086,640.3615198019064,361.5199081071478,278.8416116947586,0.0
9.99999999999998,0.050604335385970124,250.0,0.05200231481481482,0.002771808085731598,0.054774122900546424,0.05200231481481482,0.002771808085731598,0.054774122900546424,1.000044515669516,0.2802211492933111,1003.3769460655736,0.11075007758912953,51.2222800925926,67.01237773925283,118.23465783184542,640.7002793981997,299.2110725116839,1.5686874904451602,97.38016513707824,562.4743393131623,312.4117391246667,250.0626001884956,0.0
11.999999999999973,0.050614456089057576,250.0,0.05200231481481482,0.0027723919924892973,0.05477470680730412,0.05200231481481482,0.0027723919924892973,0.05477470680730412,1.000044515669516,0.2802211492933111,1003.372340156083,0.09774504922366099,51.2222800925926,67.17054705819432,118.3928271507869,601.4329049537491,287.43166626254833,1.4777339993712824,92.27154312572979,487.2108215716189,266.51227492951466,220.69854664210416,8.526512829121202e-14
13.999999999999966,0.05062474907216473,250.0,0.05200231481481482,0.0027729858515890744,0.05477530066640389,0.05200231481481482,0.0027729858515890744,0.05477530066640389,1.000044515669516,0.2802211492933111,1003.3676557935667,0.08523073099638026,51.2222800925926,67.3537537899937,118.57603388258629,561.8090474558092,275.0437445831021,1.3788167695805742,86.96336433289673,415.1666489614777,222.7241814447507,192.44246751672705,-8.526512829121202e-14
15.99999999999996,0.0506352176651962,250.0,0.05200231481481482,0.0027735898558048653,0.054775904670619685,0.05200231481481482,0.0027735898558048653,0.054775904670619685,1.000044515669516,0.2802211492933111,1003.3628914600754,0.07328832521181544,51.2222800925926,67.56085504101989,118.7831351336125,522.0021654555625,262.0062913847188,1.2703355679220512,81.42174283184525,346.79610666243394,181.31839716667585,165.4777094957581,0.0
17.999999999999986,0.05064586531643999,250.0,0.05200231481481482,0.002774204204769269,0.05477651901958409,0.05200231481481482,0.002774204204769269,0.05477651901958409,1.000044515669516,0.2802211492933111,1003.3580455836734,0.06199364433387986,51.2222800925926,67.79055440813167,119.01283450072427,482.10131554262927,248.25631571228163,1.1505635107345327,75.60126484900918,282.5062001711472,142.53075062967983,139.97544954146736,2.842170943040401e-14
20.000000000000014,0.05065669560154301,250.0,0.05200231481481482,0.002774829105492943,0.05477714392030777,0.05200231481481482,0.002774829105492943,0.05477714392030777,1.000044515669516,0.2802211492933111,1003.3531165343495,0.050289509198249295,51.2222800925926,68.0435520510092,119.26583214360181,442.1522208946822,233.6877653688753,1.017498770991794,69.43847227739437,222.717943657631,109.16926083890391,113.54868281872712,-2.842170943040401e-14
22.000000000000043,0.05066771223324131,250.0,0.05200231481481482,0.002775464772927656,0.05477777958774248,0.05200231481481482,0.002775464772927656,0.05477777958774248,1.000044515669516,0.2802211492933111,1003.3481026195799,0.0393526308852472,51.2222800925926,68.31842061811716,119.54070071070979,402.1783565738763,218.10177356518673,0.8687235627469904,62.83950020841292,167.90724826008085,79.0529429842812,88.85430527579966,-1.4210854715202004e-14
24.00000000000007,0.0506789190729007,250.0,0.05200231481481482,0.002776111430633958,0.05477842624544878,0.05200231481481482,0.002776111430633958,0.05477842624544878,1.000044515669516,0.2802211492933111,1003.3430020790709,0.03332501205580249,51.2222800925926,68.60530256868356,119.82758266127615,362.1917750789918,210.29882840032937,0.8492640981544863,60.51679434126575,135.4470876959359,60.2025429751394,75.24454472079647,1.4210854715202004e-14
26.0000000000001,0.0506903201469234,250.0,0.05200231481481482,0.002776769311729796,0.054779084126544614,0.05200231481481482,0.002776769311729796,0.054779084126544614,1.000044515669516,0.2802211492933111,1003.3378130772838,0.028239930206989266,51.2222800925926,68.90235947474983,120.12463956734241,322.1986643692296,205.22429514177733,0.8956072390300489,60.197095695011356,110.00124645413413,46.238308039773045,63.76293841436105,3.552713678800501e-14
28.000000000000128,0.050701919678760296,250.0,0.05200231481481482,0.0027774386607398636,0.05477975347555468,0.05200231481481482,0.0027774386607398636,0.05477975347555468,1.000044515669516,0.2802211492933111,1003.3325336888569,0.022585947319692178,51.2222800925926,69.21071320525847,120.43299329785107,282.20220144877544,199.1114597673369,0.9585554767265085,60.15372668020377,83.62943977921095,32.63262932607798,50.996810453132966,7.105427357601002e-15
30.000000000000156,0.05071373753818763,250.0,0.05200231481481482,0.0027781206251289397,0.05478043543994376,0.05200231481481482,0.0027781206251289397,0.05478043543994376,1.000044515669516,0.2802211492933111,1003.3271548669154,0.017436958237041507,51.2222800925926,69.52935937500474,120.75163946759733,253.4412831582172,193.5459858665783,1.0106873400284269,60.147855433153666,63.56218963489337,24.191281631477345,39.37090800341602,7.105427357601002e-15
32.000000000000185,0.05075047286200771,249.99999999999994,0.05200231481481482,0.002780240591457455,0.054782555406272276,0.05200231481481482,0.002780240591457455,0.054782555406272276,1.000044515669516,0.2802211492933111,1003.310434608283,0.014728945149784387,51.2222800925926,69.85340804284414,121.07568813543675,238.67493534874717,187.81375514799504,1.039815190659557,60.14706081164113,55.530539176995916,22.274053923297753,33.256485253698166,-7.105427357601002e-15
34.00000000000021,0.05078921481969231,249.9999999999971,0.05200231481481482,0.002782476536809678,0.0547847913516245,0.05200231481481482,0.002782476536809678,0.0547847913516245,1.000044515669516,0.2802211492933111,1003.2928003405451,0.0135564557167381,51.2222800925926,70.17978842062377,121.40206851321636,231.0936395977759,184.1471786102591,1.055444556108221,60.146953270679326,52.02685601171265,21.41773464888969,30.609121362822965,-3.552713678800501e-15
36.00000000000024,0.050830067473164535,249.99999999995296,0.05200231481481482,0.002784834496138076,0.0547871493109529,0.05200231481481482,0.002784834496138076,0.0547871493109529,1.000044515669516,0.2802211492933111,1003.2742045857684,0.013050115399204726,51.2222800925926,70.50717457261263,121.72945466520521,227.20127257477824,181.9750825774567,1.0636545645828253,60.14693871658118,50.51029560080825,21.044440040943886,29.465855559864355,7.105427357601002e-15
38.00000000000027,0.050873141815135414,249.9999999996421,0.05200231481481482,0.002787320908133141,0.05478963572294796,0.05200231481481482,0.002787320908133141,0.05478963572294796,1.000044515669516,0.2802211492933111,1003.2545966969125,0.012839547861159829,51.2222800925926,70.83497749154884,122.05725758414144,225.20286471161333,180.69541034606286,1.0679197682778057,60.14693674689797,49.90690987032842,20.916494754615645,28.990415115712775,0.0
