time_s,cell_index,z_center_m,residence_left_s,omega,T_solid_C,omega0,tref_min,slope_min_per_C,dry_mass_kg,water_mass_kg
0.0,0,0.08,960.375,0.77535,68.2471963546107,0.77535,14.940000000000003,-0.20460000000000003,2.56111400462963,8.839348958333332
0.0,1,0.24,911.125,0.7707454075706354,100.85942233957675,0.77535,14.940000000000001,-0.2046,2.56111400462963,8.610369966487466
0.0,2,0.4,861.875,0.7553564007732139,108.07697148276517,0.7753499999999997,14.940000000000003,-0.20460000000000003,2.56111400462963,7.907641412328824
0.0,3,0.56,812.625,0.7369959932204667,116.13496885273928,0.7753499999999998,14.940000000000007,-0.20460000000000006,2.56111400462963,7.176813702215226
0.0,4,0.72,763.375,0.7162788288659037,128.06991557785608,0.7753499999999999,14.94000000000001,-0.2046000000000001,2.56111400462963,6.465755560275555
0.0,5,0.88,714.125,0.6935303136010341,145.26613688735844,0.7753499999999999,14.940000000000005,-0.20460000000000003,2.56111400462963,5.795712521095792
0.0,6,1.04,664.875,0.6672261001094703,165.27879802460916,0.77535,14.940000000000007,-0.20460000000000003,2.56111400462963,5.135144642674565
0.0,7,1.2,615.625,0.6351514039288508,186.00306927148205,0.7753499999999998,14.940000000000005,-0.20460000000000003,2.56111400462963,4.458548486082509
0.0,8,1.36,566.375,0.5937299078943702,205.46962281097683,0.7753500000000001,14.940000000000007,-0.20460000000000003,2.56111400462963,3.7428548436697997
0.0,9,1.52,517.125,0.5369485592908816,222.0764249693141,0.7753499999999999,14.94000000000001,-0.2046000000000001,2.56111400462963,2.9698352149808995
0.0,10,1.68,467.875,0.4612124580774167,242.33836264224468,0.7753499999999999,14.94000000000001,-0.20460000000000012,2.56111400462963,2.192362654260208
0.0,11,1.84,418.625,0.35297559760241964,250.0,0.7753499999999998,14.94000000000001,-0.20460000000000006,2.56111400462963,1.397181841924685
0.0,12,2.0,369.375,0.19526950832881715,250.0,0.7753499999999998,14.940000000000008,-0.20460000000000006,2.56111400462963,0.6214595788703161
