time_s,cell_index,z_center_m,residence_left_s,omega,T_solid_C,omega0,tref_min,slope_min_per_C,dry_mass_kg,water_mass_kg
0.0,0,0.08,960.375,0.77535,68.2471963546107,0.77535,14.940000000000003,-0.20460000000000003,2.56111400462963,8.839348958333332
0.0,1,0.24,911.125,0.7707454075706354,100.85942233957675,0.77535,14.940000000000001,-0.2046,2.56111400462963,8.610369966487466
0.0,2,0.4,861.875,0.7553564007732139,108.07697148276517,0.7753499999999997,14.940000000000003,-0.20460000000000003,2.56111400462963,7.907641412328824
0.0,3,0.56,812.625,0.7369959932204667,116.13496885273928,0.7753499999999998,14.940000000000007,-0.20460000000000006,2.56111400462963,7.176813702215226
0.0,4,0.72,763.375,0.7162788288659037,128.06991557785608,0.7753499999999999,14.94000000000001,-0.2046000000000001,2.56111400462963,6.465755560275555
0.0,5,0.88,714.125,0.6935303136010341,145.26613688735844,0.7753499999999999,14.940000000000005,-0.20460000000000003,2.56111400462963,5.795712521095792
0.0,6,1.04,664.875,0.6672261001094703,165.27879802460916,0.77535,14.940000000000007,-0.20460000000000003,2.56111400462963,5.135144642674565
0.0,7,1.2,615.625,0.6351514039288508,186.00306927148205,0.7753499999999998,14.940000000000005,-0.20460000000000003,2.56111400462963,4.458548486082509
0.0,8,1.36,566.375,0.5937299078943702,205.46962281097683,0.7753500000000001,14.940000000000007,-0.20460000000000003,2.56111400462963,3.7428548436697997
0.0,9,1.52,517.125,0.5369485592908816,222.0764249693141,0.7753499999999999,14.94000000000001,-0.2046000000000001,2.56111400462963,2.9698352149808995
0.0,10,1.68,467.875,0.4612124580774167,242.33836264224468,0.7753499999999999,14.94000000000001,-0.20460000000000012,2.56111400462963,2.192362654260208
0.0,11,1.84,418.625,0.35297559760241964,250.0,0.7753499999999998,14.94000000000001,-0.20460000000000006,2.56111400462963,1.397181841924685
0.0,12,2.0,369.375,0.19526950832881715,250.0,0.7753499999999998,14.940000000000008,-0.20460000000000006,2.56111400462963,0.6214595788703161
0.0,13,2.16,320.125,0.11704130896695891,250.0,0.7753499999999997,14.940000000000007,-0.20460000000000003,2.56111400462963,0.33949055438228287
0.0,14,2.32,270.875,0.08044152736750573,250.0,0.7753499999999998,14.940000000000007,-0.2046,2.56111400462963,0.22404222072461222
0.0,15,2.48,221.625,0.06372317814537669,250.0,0.7753499999999998,14.939999999999998,-0.2046,2.56111400462963,0.17430990510301622
0.0,16,2.64,172.375,0.05616654799573372,250.0,0.7753499999999999,14.939999999999998,-0.20459999999999998,2.56111400462963,0.1524092331736147
0.0,17,2.8000000000000003,123.125,0.052766958355434275,250.0,0.7753499999999999,14.940000000000005,-0.2046,2.56111400462963,0.1426704834864926
0.0,18,2.96,73.875,0.05124074447214604,250.0,0.7753499999999998,14.940000000000005,-0.2046000000000001,2.56111400462963,0.13832106249361245
0.0,19,3.12,24.625,0.05055620677276066,250.0,0.77535,14.940000000000008,-0.20460000000000003,2.56111400462963,0.13637480186852824
2699.99999999864,0,0.08,960.375,0.77535,34.87925500478454,0.77535,14.940000000000003,-0.20460000000000003,2.56111400462963,8.839348958333332
2699.99999999864,1,0.24,911.125,0.775349999999996,49.97487188635087,0.7753500000000128,14.939999999999612,-0.20460000000000303,2.56111400462963,8.839348958333133
2699.99999999864,2,0.4,861.875,0.7753499999999788,65.2945765214497,0.7753500000000711,14.940000000000758,-0.2046000000000181,2.56111400462963,8.839348958332257
2699.99999999864,3,0.56,812.625,0.7753499999999616,80.85187628730458,0.7753500000001319,14.940000000001906,-0.20460000000003425,2.56111400462963,8.839348958331383
2699.99999999864,4,0.72,763.375,0.7753499999999443,96.66299606735186,0.7753500000001912,14.940000000003051,-0.2046000000000502,2.56111400462963,8.839348958330508
2699.99999999864,5,0.88,714.125,0.7701780212922497,100.00521615739382,0.7753500000002479,14.940000000004087,-0.2046000000000641,2.56111400462963,8.582789720463746
2699.99999999864,6,1.04,664.875,0.7638746951486726,102.97500842527518,0.775350000000247,14.940000000004101,-0.20460000000006437,2.56111400462963,8.28530504496014
2699.99999999864,7,1.2,615.625,0.7565039982496792,106.34479932360702,0.7753500000002482,14.940000000004078,-0.204600000000064,2.56111400462963,7.956980691872941
2699.99999999864,8,1.36,566.375,0.7478206457296245,110.18484493727664,0.7753500000002486,14.940000000004066,-0.2046000000000633,2.56111400462963,7.5948086006908575
2699.99999999864,9,1.52,517.125,0.7375062162747005,114.583599172358,0.7753500000002495,14.94000000000409,-0.20460000000006323,2.56111400462963,7.19574182746826
2699.99999999864,10,1.68,467.875,0.7251363500630836,119.6530304097493,0.775350000000245,14.940000000004016,-0.2046000000000626,2.56111400462963,6.756647748215566
2699.99999999864,11,1.84,418.625,0.7101293873455923,125.5367803258406,0.7753500000002439,14.940000000003966,-0.2046000000000623,2.56111400462963,6.2742556148601
2699.99999999864,12,2.0,369.375,0.6916634629018721,132.42197504806498,0.7753500000002411,14.940000000003938,-0.20460000000006165,2.56111400462963,5.745115379449354
2699.99999999864,13,2.16,320.125,0.6697551210277979,142.53898331122326,0.7753500000002356,14.94000000000386,-0.2046000000000602,2.56111400462963,5.194082722721312
2699.99999999864,14,2.32,270.875,0.6449755998565411,158.82744988622468,0.7753500000002295,14.940000000003739,-0.20460000000005907,2.56111400462963,4.652795810004886
2699.99999999864,15,2.48,221.625,0.6147913077345032,179.13963219337182,0.7753500000002215,14.94000000000356,-0.20460000000005707,2.56111400462963,4.087526215732887
