% Model,瞬态固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 02:21"
% Table,表格 20 - 体平均 1
% Time (s),温度 (K)
322,1050.0038431872235
323,1050.005787608319
324,1050.0077320294206
325,1050.0096764505122
326,1050.0116208716122
327,1050.0135652927074
328,1050.015509713806
329,1050.017454134902
330,1050.019398555997
331,1050.0213429770965
332,1050.023287398192
333,1050.0252318192863
334,1050.0271762403845
335,1050.0291206614831
336,1050.031065082577
337,1050.0330095036759
338,1050.034953924773
339,1050.0368983458677
340,1050.0388427669634
341,1050.0407871880611
342,1050.0427316091586
343,1050.0446760302552
344,1050.0466204513543
345,1050.0485648724512
346,1050.0505092935464
347,1050.052453714643
348,1050.0543981357414
349,1050.056342556837
350,1050.0582869779341
351,1050.0602313990287
352,1050.062175820126
353,1050.0641202412255
354,1050.0660646623191
355,1050.0680090834164
356,1050.069953504513
357,1050.071897925609
358,1050.0738423467064
359,1050.0757867678064
360,1050.0777311888994
361,1050.079675609999
362,1050.0816200310933
363,1050.0835644521942
364,1050.0855088732856
365,1050.0874532943817
366,1050.089397715483
367,1050.0913421365772
368,1050.0932865576763
369,1050.0952309787708
370,1050.0971753998697
371,1050.0991198209676
372,1050.0977983787498
373,1050.0956451887434
374,1050.093491998729
375,1050.091338808725
376,1050.0891856187172
377,1050.0870324287098
378,1050.0848792387014
379,1050.0827260486926
380,1050.0805728586881
381,1050.078419668675
382,1050.0762664786673
383,1050.0741132886594
384,1050.0719600986538
385,1050.0698069086438
386,1050.0676537186362
387,1050.0655005286285
388,1050.0633473386179
389,1050.0611941486109
390,1050.0590409585996
391,1050.0568877685962
392,1050.0547345785897
393,1050.0525813885781
394,1050.0504281985698
395,1050.0482750085646
396,1050.0461218185549
397,1050.043968628545
398,1050.0418154385366
399,1050.0396622485293
400,1050.0375090585208
401,1050.0353558685176
402,1050.033202678503
403,1050.031049488495
404,1050.0288962984873
405,1050.026743108476
406,1050.0245899184742
407,1050.022436728464
408,1050.0202835384532
409,1050.0181303484453
410,1050.0159771584365
411,1050.0138239684316
412,1050.0116707784248
413,1050.0095175884144
414,1050.0073643984074
415,1050.0052112083965
416,1050.003058018388
417,1050.0009048283807
418,1049.998751638373
419,1049.9965984483622
420,1049.9944452583582
421,1049.9922920683484
422,1049.9901388783414
423,1049.9879856883338
424,1049.9858324983231
425,1049.9836793083148
426,1049.9815261183041
427,1049.979372928299
428,1049.9772197382915
429,1049.9750665482823
430,1049.9729133582737
431,1049.9707601682646
432,1049.971580775225
433,1049.9731587467295
434,1049.9747367182274
435,1049.9763146897303
436,1049.9778926612335
437,1049.9794706327377
438,1049.9810486042377
439,1049.9826265757372
440,1049.9842045472421
441,1049.9857825187426
442,1049.9873604902436
443,1049.9889384617472
444,1049.9905164332458
445,1049.9920944047492
446,1049.9936723762494
447,1049.9952503477527
448,1049.9968283192563
449,1049.9984062907572
450,1049.9999842622597
451,1050.0015622337573
452,1050.0031402052643
453,1050.0047181767634
454,1050.0062961482683
455,1050.0078741197678
456,1050.0094520912687
457,1050.0110300627694
458,1050.0126080342736
459,1050.0141860057747
460,1050.0157639772763
461,1050.0173419487785
462,1050.0189199202819
463,1050.0204978917832
464,1050.0220758632838
465,1050.0236538347838
466,1050.0252318062849
467,1050.0268097777891
468,1050.0283877492923
469,1050.0299657207913
470,1050.0315436922936
471,1050.0331216637958
472,1050.0346996352976
473,1050.0362776068016
474,1050.0378555782993
475,1050.039433549802
476,1050.0410115213024
477,1050.0425894928055
478,1050.0441674643082
479,1050.0457454358088
480,1050.047323407312
481,1050.0489013788151
482,1050.0504793503203
483,1050.0520573218205
484,1050.0536352933177
485,1050.0552132648186
486,1050.0567912363235
487,1050.0583692078264
488,1050.059947179327
489,1050.0615251508284
490,1050.063103122331
491,1050.0646810938326
