% Model,瞬态固体和流体传热湍流 - 副本.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 20:21"
% Table,表格 22 - 体平均 1
% Time (s),温度 (K)
246,297538.9259362107
247,296913.6467658929
248,296288.36759557587
249,295663.088425258
250,295037.8092549403
251,294412.5300846234
252,293787.2509143048
253,293164.1191728807
254,292605.404652489
255,292046.6901320975
256,291487.97561170574
257,290929.26109131356
258,290370.5465709213
259,289811.83205052937
260,289253.11753013736
261,288694.4030097453
262,288140.1339526297
263,287607.5171331687
264,287080.00495069916
265,286557.59740522015
266,286040.29449673183
267,285528.0962252313
268,285021.00259072374
269,284519.01359320554
270,284022.12923267786
271,283530.34950914147
272,283043.6744225948
273,282562.1039730372
274,282085.6381604723
275,281614.2769848964
276,281148.0204463111
277,280686.8685447161
278,280230.82128011156
279,279779.87865249725
280,279334.3134834859
281,278894.1551009344
282,278459.15970787714
283,278029.32730431325
284,277604.65789024235
285,277185.1514656645
286,276770.8080305814
287,276361.62758499105
288,275957.6101288953
289,275558.75566229055
290,275165.064185181
291,274776.53569756576
292,274393.17019944225
293,274014.96769081324
294,273641.9281716778
295,273274.05164203467
296,272911.33810188744
297,272553.78755123116
298,272193.42762239586
299,271835.71057070803
300,271482.1252616764
301,271132.6716953019
302,270787.3498715849
303,270446.1597905249
304,270109.1014521224
305,269776.17485637637
306,269447.3800032875
307,269122.71689285606
308,268802.1855250811
309,268485.7858999632
310,268173.5180175031
311,267865.3818777002
312,267561.3774805539
313,267261.5048260645
314,266965.76391423255
315,266674.1547450571
316,266386.67731853906
317,266103.33163467835
318,265824.1176934748
319,265549.03549492825
320,265278.0850390385
321,265011.26632580615
322,264748.5793552317
323,264490.0241273121
324,264235.6006420519
325,263985.3088994479
326,263739.1488995009
327,263497.1206422109
328,263259.2241275783
329,263025.45935560256
330,262795.82632628403
331,262570.32503962214
332,262348.9554956183
333,262122.43710208256
334,261889.09088419276
335,261658.7915110287
336,261431.5389825908
337,261207.3332988804
338,260986.1744598967
339,260768.06246563827
340,260552.99731610637
341,260340.97901130156
342,260132.00755122193
343,259926.08293586996
344,259723.2051652447
345,259523.37423934485
346,259326.5901581706
347,259132.85292172502
348,258942.16253000416
349,258754.51898301093
350,258569.9222807436
351,258388.3724232016
352,258209.86941038675
353,258034.41324229832
354,257862.00391893712
355,257692.64144030138
356,257526.32580639175
357,257363.05701720944
358,257202.83507275322
359,257045.65997302343
360,256891.5317180198
361,256740.45030774322
362,256592.4157421923
363,256447.42802136816
364,256305.4871452701
365,256166.5931138991
366,256030.74592725406
367,255897.9455853347
368,255765.9465168957
369,255619.89171941698
370,255475.82640871336
371,255333.7505847838
372,255193.66424762885
373,255055.56739724657
374,254919.4600336401
375,254785.3421568081
376,254653.21376674753
377,254523.0748634635
378,254394.92544695275
379,254268.76551721664
380,254144.59507425406
381,254022.41411806582
382,253902.22264865143
383,253784.02066601277
384,253667.80817014686
385,253553.58516105489
386,253441.351638738
387,253331.1076031953
388,253222.85305442536
389,253116.58799243002
390,253012.31241721034
391,252910.0263287624
392,252809.72972709074
393,252711.42261219214
394,252615.10498406884
395,252520.77684271816
396,252428.43818814208
397,252338.08902034062
398,252249.72933931331
399,252163.35914506056
400,252078.97843758
400,252078.97843758
405,251662.5726818715
410,251238.58298587732
415,250845.7200714732
420,250483.98393866
425,250153.37458743743
430,249853.89201780516
435,249585.53622976528
440,249336.14046379057
445,249079.17248471893
450,248841.54762519037
455,248623.2658852059
460,248424.3272647636
465,248244.73176386414
470,248084.47938250846
475,247935.78742156827
480,247770.86539123923
485,247615.07330331753
490,247468.41115780256
495,247330.87895469466
500,247202.47669399306
505,247083.20437569884
510,246973.06199981156
515,246872.04956633164
520,246780.16707525824
525,246697.4145265926
530,246623.79192033215
535,246559.29925648053
540,246503.93653503468
545,246455.68548509965
550,246385.82791924445
555,246320.81178259797
560,246260.6370751628
565,246205.30379693594
570,246154.8119479191
575,246109.1615281113
580,246068.35253751368
585,246032.3849761264
590,246001.25884394775
595,245974.97414097894
600,245953.53086721845
605,245936.9290226686
610,245925.16860732838
615,245918.24962119682
620,245896.93388722008
625,245876.1981790844
630,245857.53751893612
635,245840.9519067748
640,245826.44134260132
645,245814.00582641482
650,245803.64535821532
655,245795.35993800443
660,245789.14956578056
665,245785.01424154377
670,245782.95396529432
675,245782.96873703215
680,245785.05855675772
685,245789.2234244706
690,245786.543332959
695,245782.05957042973
700,245778.11837149152
705,245774.71973614447
710,245771.86366438845
715,245769.55015622202
720,245767.7792116465
725,245766.55083066193
730,245765.8650132669
735,245765.72175946334
740,245766.1210692507
745,245767.06294262808
750,245768.547379595
755,245770.5743801537
760,245773.14394430417
765,245776.2560720435
770,245777.05540459842
775,245777.109408924
780,245777.16341325024
785,245777.21741757574
790,245777.27142190238
795,245777.32542622744
800,245777.37943055353
